Team,GP,W,L,MIN,OwnPointsPerGame,OwnFieldGoalPercentage,OpponentFieldGoalPercentage,OwnThreePointPercentage,OwnFreeThrowPercentage,OpponentThreePointFieldGoalPercentage,OwnAssistsPerGame,OwnTotalReboundsPerGame,OpponentFreeThrowPercentage,OwnBlocksPerGame,OwnStealsPerGame,OpponentTotalReboundsPerGame,OpponentAssistsPerGame,OwnFouls,OpponentStealsPerGame,OpponentBlocksPerGame,OpponentFouls,OpponentPointsPerGame,Playoff
Oklahoma City Thunder,77,64,13,48.1,120.3,48.1,43.5,37.5,82,34.1,26.9,44.8,77.6,5.8,10.4,44.8,24.6,19.8,6.7,4.9,18.2,107.2,1
Cleveland Cavaliers,77,62,15,48.1,122.2,49.2,45.4,38.4,78.5,36,28.2,45.1,77.8,4.3,8.1,43.4,25.6,18.2,7.7,4.3,19.1,112.2,1
Boston Celtics,77,57,20,48.3,116.8,46.3,45.3,36.8,80.1,34.9,26.1,45.1,78.2,5.5,7.1,43.5,24,16.1,6.9,3.6,17.8,107.8,1
Houston Rockets,78,51,27,48.3,114.5,45.4,45.6,35.1,74.2,35.2,23.2,48.8,75.9,5,8.4,42,23.2,19.1,7.8,5.8,19.5,109.1,1
New York Knicks,77,49,28,48.5,116.2,48.7,47.3,37,80.1,37,27.5,42.8,79.2,3.9,8.1,42,25.4,17,7,5.1,18.8,111.9,1
Denver Nuggets,78,47,31,48.4,120.7,50.6,46.6,37.9,76.9,36.5,31,45.6,77.8,4.9,8.1,42.5,29,17.7,8.9,5.1,18.9,116.9,1
Los Angeles Lakers,77,47,30,48.1,113.2,47.8,46.3,36.1,79,35.5,26.2,42.4,78.1,4.5,7.7,43.1,27.4,17.3,8.2,4.1,19.3,112.3,1
Golden State Warriors,77,46,31,48.1,113.9,45.1,46.6,36.4,76.2,36.5,29.1,45.5,77.2,4.8,9.2,44,26,19.3,7.4,5.4,18.5,110.8,1
Indiana Pacers,77,46,31,48.3,117.4,49.2,47.4,37.2,79.1,35.7,29.4,41.4,77.7,5.3,8.5,44.8,26,18.8,7.2,4.3,18.6,115.1,1
LA Clippers,78,46,32,48.3,112.5,47.9,45.9,36.9,79.6,34.6,25.1,43.8,77.2,4.6,9.5,41.9,25.6,18.4,8.9,4.3,17.8,108,1
Memphis Grizzlies,78,46,32,48.1,121.7,47.9,45.5,36.7,78.6,36.2,28.5,47.4,77,5.7,8.8,43.6,27.1,20.9,8.8,5.6,20.3,117,1
Minnesota Timberwolves,78,46,32,48.4,114,46.7,46.1,37.8,78.8,35.1,26.1,44.2,76.8,4.9,8.1,43.1,24.8,18.2,8.5,4.6,19.2,109.4,1
Detroit Pistons,78,43,35,48.3,115.2,47.4,45.9,36.1,78,36.3,26.3,45.1,77.5,5.2,8.1,42.5,24.7,20.7,9,5,18.9,113,1
Milwaukee Bucks,77,43,34,48.1,114.9,48.5,45.6,38.5,75.2,35.2,25.3,43.3,78.9,4.7,7.2,45.3,26.2,18,7.5,3.8,18.9,112.9,1
Dallas Mavericks,79,38,41,48.1,114.5,47.8,47,36.5,77.2,36.4,25.1,43,78,5.4,7.8,45.3,27.2,18,7.9,4.6,18.8,115.4,0
Orlando Magic,78,38,40,48.1,105.1,44.3,46.8,31.4,77.6,36.7,22.9,41.8,76.8,5.9,8.8,42.1,22.7,20.3,7.8,4.4,20.4,105.6,1
Sacramento Kings,77,37,40,48.5,115.8,47.7,47.2,35.5,80.3,38.4,26.6,44.3,78.7,4.4,7.7,42.6,26.9,19,7.9,4.3,18.6,115.6,0
Atlanta Hawks,77,36,41,48.3,117.6,46.9,48.3,35.4,77.7,37.5,29.4,44.4,80.7,5.2,9.8,43.8,28.3,19.1,9.2,4.9,19.1,119.6,1
Chicago Bulls,77,35,42,48.2,117.6,46.8,46.9,36.8,80.6,34.4,29.1,45.6,78.8,4.7,7.5,46.3,29,17.7,8,5.2,16.8,119.9,0
Miami Heat,78,35,43,48.6,109.9,46.2,46.6,36.6,79.3,35.9,26.3,43.2,77.8,3.8,8.1,44.7,26.4,15.7,7.6,4.7,17.1,109.9,0
Phoenix Suns,77,35,42,48.4,114.2,48,47.1,38.3,81.1,36.8,27.9,42.6,78.8,4.8,7.1,44.1,27.2,18.1,8.5,4.1,18.8,116.7,0
Portland Trail Blazers,78,34,44,48.2,110.9,45,47.3,34.4,76.7,36.2,23.7,44.6,80,5.3,8.2,44.1,26.2,19,9.4,5.5,19.2,114.2,0
San Antonio Spurs,77,32,45,48.1,114,46.5,47.4,35.6,77.3,36.4,28.8,43.8,79,5.7,8.2,46.1,28,16.7,8.1,4.4,17.4,116.6,0
Toronto Raptors,78,28,50,48.3,110.6,45.7,46.5,34.8,75.1,34.9,28.4,45,77.7,4.3,8,44.8,25.9,21.3,9.2,5.9,18.3,115.2,0
Brooklyn Nets,77,25,52,48.3,105,43.7,47.9,34.3,78.9,36.1,25.1,41.3,78.2,4.4,7.8,43.6,26.9,20.6,7.9,5.7,18.9,111.8,0
Philadelphia 76ers,78,23,55,48.3,109.6,45.6,49,34.3,78.2,37.9,23.2,39.4,79.5,4.4,9.3,45.2,28.4,19.1,7.4,5.2,18.7,115.8,0
New Orleans Pelicans,77,21,56,48.2,110,45.4,48.2,34.9,75.5,36.5,25.8,43.4,78.8,5.3,8.7,45.5,28.7,18.3,8.9,5.3,17.9,118.8,0
Charlotte Hornets,77,19,58,48.2,105.5,43,46.7,34.1,78.7,35.3,24.4,45.3,79,4.6,7.5,44.9,26.7,18.9,8.7,5.4,18.3,113.8,0
Washington Wizards,77,17,60,48.1,108.5,44,47.2,33.7,77.9,36.6,25.2,43.8,79.4,5.2,7.7,48.6,28.6,19.8,9.2,5.2,18.4,120.6,0
Utah Jazz,78,16,62,48.3,111.4,45.4,47.8,34.9,77.2,35.7,25.5,45.4,76.5,4.4,6.6,44.1,29.4,18.9,9.8,6.5,19.3,120.6,0
